Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"42789.7336","enterovirus D68 EVD68_246003011501_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_246003011501_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612575",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7348,41.344585,1,7348,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-12",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","male","56 years",,"Human",,,,,,"2025-06-05T06:02:35.595Z","2025-06-05T06:02:35.595Z"
"42789.7337","enterovirus D68 EVD68_240044347101_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240044347101_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612573",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7348,41.42624,1,7348,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-20",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","42 years",,"Human",,,,,,"2025-06-05T06:02:35.983Z","2025-06-05T06:02:35.983Z"
"42789.7338","enterovirus D68 EVD68_240045181101_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240045181101_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612574",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7331,41.64507,1,7331,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-23",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","36 years",,"Human",,,,,,"2025-06-05T06:02:42.850Z","2025-06-05T06:02:42.850Z"
"42789.7339","enterovirus D68 EVD68_240043831001_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240043831001_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612572",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7348,41.344585,1,7348,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-17",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","52 years",,"Human",,,,,,"2025-06-05T06:02:36.778Z","2025-06-05T06:02:36.778Z"
"42789.7340","enterovirus D68 EVD68_240043806101_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240043806101_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612571",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7348,41.303757,1,7348,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-17",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","1 months",,"Human",,,,,,"2025-06-05T06:02:36.915Z","2025-06-05T06:02:36.915Z"
"42789.7341","enterovirus D68 EVD68_240043756101_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240043756101_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612570",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7331,41.8224,1,7331,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-17",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","10 years",,"Human",,,,,,"2025-06-05T06:02:36.629Z","2025-06-05T06:02:36.629Z"
"42789.7342","enterovirus D68 EVD68_240043748201_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240043748201_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612569",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7256,41.40022,1,7256,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-12",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","39 years",,"Human",,,,,,"2025-06-05T06:02:37.059Z","2025-06-05T06:02:37.059Z"
"42789.7343","enterovirus D68 EVD68_240043483901_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240043483901_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612568",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7348,41.39902,1,7348,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-15",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","44 years",,"Human",,,,,,"2025-06-05T06:02:37.927Z","2025-06-05T06:02:37.927Z"
"42789.7344","enterovirus D68 EVD68_240043448801_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240043448801_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612567",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7331,41.904243,1,7331,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-15",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","57 years",,"Human",,,,,,"2025-06-05T06:02:38.064Z","2025-06-05T06:02:38.064Z"
"42789.7345","enterovirus D68 EVD68_240042980801_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240042980801_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612564",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7331,41.713272,1,7331,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-12",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","34 years",,"Human",,,,,,"2025-06-05T06:02:37.327Z","2025-06-05T06:02:37.327Z"
"42789.7346","enterovirus D68 EVD68_240043206101_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240043206101_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612565",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7331,41.69963,1,7331,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-13",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","male","8 months",,"Human",,,,,,"2025-06-05T06:02:37.762Z","2025-06-05T06:02:37.762Z"
"42789.7347","enterovirus D68 EVD68_240042178201_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240042178201_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612563",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7227,41.981457,1,7227,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-07",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","male","16 months",,"Human",,,,,,"2025-06-05T06:02:37.595Z","2025-06-05T06:02:37.595Z"
"42789.7348","enterovirus D68 EVD68_240041504701_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240041504701_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612562",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7331,41.795116,1,7331,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-02",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","male","20 months",,"Human",,,,,,"2025-06-05T06:02:38.207Z","2025-06-05T06:02:38.207Z"
"42789.7349","enterovirus D68 EVD68_240040921401_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240040921401_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612560",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7331,41.68599,1,7331,,,,1,,,,,,"nasopharyngeal swab",,"2024-08-30",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","male","4 years",,"Human",,,,,,"2025-06-05T06:02:37.201Z","2025-06-05T06:02:37.201Z"
"42789.7350","enterovirus D68 EVD68_240043306701_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240043306701_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612566",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7348,41.004356,1,7348,,,,1,,,,,,"nasopharyngeal swab",,"2024-09-13",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","male","2 months",,"Human",,,,,,"2025-06-05T06:02:38.341Z","2025-06-05T06:02:38.341Z"
"42789.7351","enterovirus D68 EVD68_240040817501_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240040817501_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612559",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7331,41.576866,1,7331,,,,1,,,,,,"nasopharyngeal swab",,"2024-08-29",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","female","5 months",,"Human",,,,,,"2025-06-05T06:02:37.451Z","2025-06-05T06:02:37.451Z"
"42789.7352","enterovirus D68 EVD68_240041052801_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240041052801_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612561",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7348,41.317364,1,7348,,,,1,,,,,,"nasopharyngeal aspirate",,"2024-08-31",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","male","23 months",,"Human",,,,,,"2025-06-05T06:02:38.546Z","2025-06-05T06:02:38.546Z"
"42789.7353","enterovirus D68 EVD68_240039869602_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EVD68_240039869602_FRA24",,,,,,,,,,,,,,,,,,,,,"2025-06-01T00:00:00Z",,,,,,,"PQ612558",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7348,41.371803,1,7348,,,,1,,,,,,"nasopharyngeal swab",,"2024-08-23",2024,,"France",,,,"Europe","France",,"Homo sapiens","Human","male","6 years",,"Human",,,,,,"2025-06-05T06:02:38.694Z","2025-06-05T06:02:38.694Z"
